id,stock_code,stock_name,title,announce_type,publish_date,url
2026-03-30-1,300622,博士眼镜,博士眼镜:第五届董事会第十八次会议决议公告,董事会决议公告,2026-03-30,https://data.eastmoney.com/notices/detail/300622/AN202603301820869140.html
2026-03-30-2,300996,普联软件,普联软件:普联软件投资者关系活动记录表-2026.03.30,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300996/AN202603311820896127.html
2026-03-30-3,920694,中裕科技,中裕科技:外汇套期保值业务管理制度,管理办法/制度,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877231.html
2026-03-30-4,920694,中裕科技,中裕科技:关于开展外汇套期保值业务的公告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877241.html
2026-03-30-5,920879,基康技术,基康技术:申万宏源证券承销保荐有限责任公司关于基康技术股份有限公司2025年度持续督导跟踪报告,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920879/AN202603301820870687.html
2026-03-30-6,300724,捷佳伟创,捷佳伟创:中国国际金融股份有限公司关于公司股东向特定机构投资者询价转让股份相关资格的核查意见,询价转让核查报告/意见,2026-03-30,https://data.eastmoney.com/notices/detail/300724/AN202603301820866878.html
2026-03-30-7,301331,恩威医药,恩威医药:北京金杜(成都)律师事务所关于恩威医药股份有限公司2023年限制性股票激励计划调整事项的法律意见书,法律意见书,2026-03-30,https://data.eastmoney.com/notices/detail/301331/AN202603301820865397.html
2026-03-30-8,920504,博迅生物,博迅生物:2025年年度权益分派预案公告,分配预案,2026-03-30,https://data.eastmoney.com/notices/detail/920504/AN202603301820863136.html
2026-03-30-9,920012,创达新材,创达新材:上市保荐书,上市保荐书,2026-03-30,https://data.eastmoney.com/notices/detail/920012/AN202603301820860720.html
2026-03-30-10,300650,太龙股份,太龙股份:关于2025年度为子公司提供担保的进展公告,提供/对外担保公告,2026-03-30,https://data.eastmoney.com/notices/detail/300650/AN202603301820860143.html
2026-03-30-11,300100,双林股份,双林股份:300100双林股份投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300100/AN202603311820910925.html
2026-03-30-12,300019,硅宝科技,硅宝科技:300019硅宝科技投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300019/AN202603311820910926.html
2026-03-30-13,002233,塔牌集团,塔牌集团:2026年3月30日投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/002233/AN202603311820895966.html
2026-03-30-14,300674,宇信科技,宇信科技:宇信科技：2026年3月30日投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300674/AN202603311820895965.html
2026-03-30-15,000166,申万宏源,申万宏源:000166申万宏源投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/000166/AN202603311820896128.html
2026-03-30-16,300501,海顺新材,海顺新材:上海海顺新型药用包装材料股份有限公司投资者关系活动记录表--2025年度业绩说明会,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300501/AN202603311820895967.html
2026-03-30-17,300308,中际旭创,中际旭创:投资者关系活动记录表20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300308/AN202603301820884446.html
2026-03-30-18,300824,北鼎股份,北鼎股份:300824北鼎股份投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300824/AN202603301820884268.html
2026-03-30-19,688347,华虹公司,"3-2本次重组涉及的拟购买资产的评估报告及评估说明,或者估值报告(申报稿)(华虹半导体有限公司)",科创板并购重组资产评估报告,2026-03-30,https://data.eastmoney.com/notices/detail/688347/AN202603301820882996.html
2026-03-30-20,688347,华虹公司,2-1独立财务顾问报告(申报稿)(华虹半导体有限公司),科创板并购重组独立财务顾问报告,2026-03-30,https://data.eastmoney.com/notices/detail/688347/AN202603301820882999.html
2026-03-30-21,688347,华虹公司,2-2法律意见书(申报稿)(华虹半导体有限公司),科创板并购重组法律意见书,2026-03-30,https://data.eastmoney.com/notices/detail/688347/AN202603301820882998.html
2026-03-30-22,688347,华虹公司,3-1本次重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(华虹半导体有限公司),科创板并购重组审计报告,2026-03-30,https://data.eastmoney.com/notices/detail/688347/AN202603301820882997.html
2026-03-30-23,688347,华虹公司,1-1重大资产重组报告书(申报稿),科创板并购重组报告书申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/688347/AN202603301820882989.html
2026-03-30-24,002352,顺丰控股,顺丰控股:2026年3月30日投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/002352/AN202603301820880868.html
2026-03-30-25,920751,惠同新材,惠同新材:重大资产重组进展公告,重组进展公告,2026-03-30,https://data.eastmoney.com/notices/detail/920751/AN202603301820880361.html
2026-03-30-26,600180,瑞茂通,关于瑞茂通供应链管理股份有限公司相关事项的监管工作函,上交所股票监管工作函,2026-03-30,https://data.eastmoney.com/notices/detail/600180/AN202603301820879337.html
2026-03-30-27,300634,彩讯股份,彩讯股份:关于现金收购基智智能科技(上海)有限公司100%股权的公告,收购出售资产/股权,2026-03-30,https://data.eastmoney.com/notices/detail/300634/AN202603301820879172.html
2026-03-30-28,300634,彩讯股份,彩讯股份:第四届董事会第十一次会议决议公告,董事会决议公告,2026-03-30,https://data.eastmoney.com/notices/detail/300634/AN202603301820879170.html
2026-03-30-29,300634,彩讯股份,彩讯股份:关于为全资子公司提供担保的公告,提供/对外担保公告,2026-03-30,https://data.eastmoney.com/notices/detail/300634/AN202603301820879171.html
2026-03-30-30,002661,克明食品,克明食品:2026年3月30日投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/002661/AN202603301820878776.html
2026-03-30-31,300476,胜宏科技,胜宏科技:300476胜宏科技投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300476/AN202603301820877440.html
2026-03-30-32,003026,中晶科技,中晶科技:中晶科技:投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/003026/AN202603301820877439.html
2026-03-30-33,920694,中裕科技,中裕科技:东吴证券股份有限公司关于中裕软管科技股份有限公司开展外汇套期保值业务的核查意见,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877251.html
2026-03-30-34,920694,中裕科技,中裕科技:中兴华会计师事务所(特殊普通合伙)关于中裕软管科技股份有限公司2025年度内部控制审计报告,审计报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877230.html
2026-03-30-35,920694,中裕科技,中裕科技:中兴华会计师事务所(特殊普通合伙)关于中裕软管科技股份有限公司2025年度非经营性资金占用及其他关联资金往来情况的专项说明,专项说明/独立意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877237.html
2026-03-30-36,920694,中裕科技,中裕科技:2025年度审计报告,审计报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877249.html
2026-03-30-37,920694,中裕科技,中裕科技:拟续聘2026年度会计师事务所公告,审计机构变更,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877243.html
2026-03-30-38,920694,中裕科技,中裕科技:2025年度环境、社会及公司治理(ESG)报告,ESG公告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877232.html
2026-03-30-39,920694,中裕科技,中裕科技:东吴证券股份有限公司关于中裕软管科技股份有限公司预计2026年度为子公司提供担保的核查意见,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877226.html
2026-03-30-40,920694,中裕科技,中裕科技:2025年年度报告业绩说明会预告公告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877235.html
2026-03-30-41,920694,中裕科技,中裕科技:中兴华会计师事务所(特殊普通合伙)关于中裕软管科技股份有限公司2025年度募集资金存放与实际使用情况的鉴证报告,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877252.html
2026-03-30-42,920694,中裕科技,中裕科技:审计委员会对会计师事务所履行监督职责情况报告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877242.html
2026-03-30-43,920694,中裕科技,中裕科技:2025年度募集资金存放、管理与实际使用情况的专项报告,募集资金使用情况报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877247.html
2026-03-30-44,920694,中裕科技,中裕科技:关于2026年度董事、高级管理人员薪酬方案的公告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877229.html
2026-03-30-45,920694,中裕科技,中裕科技:东吴证券股份有限公司关于中裕软管科技股份有限公司2025年度募集资金存放与使用情况的专项核查报告,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877227.html
2026-03-30-46,920694,中裕科技,中裕科技:2025年年度报告摘要,年度报告摘要,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877240.html
2026-03-30-47,920694,中裕科技,中裕科技:2025年年度独立董事述职报告(周余俊),独立董事述职报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877234.html
2026-03-30-48,920694,中裕科技,中裕科技:开展外汇套期保值业务的可行性分析报告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877248.html
2026-03-30-49,920694,中裕科技,中裕科技:董事、高级管理人员薪酬管理制度,管理办法/制度,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877244.html
2026-03-30-50,920694,中裕科技,中裕科技:2025年度内部控制自我评价报告,内部控制报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877238.html
2026-03-30-51,920694,中裕科技,中裕科技:2025年年度报告,年度报告全文,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877246.html
2026-03-30-52,920694,中裕科技,中裕科技:2025年年度独立董事述职报告(邬爱其),独立董事述职报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877228.html
2026-03-30-53,920694,中裕科技,中裕科技:2025年度会计师事务所履职情况评估报告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877225.html
2026-03-30-54,920694,中裕科技,中裕科技:第三届董事会第二十六次会议决议公告,分配预案,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877239.html
2026-03-30-55,920694,中裕科技,中裕科技:关于召开2025年年度股东会通知公告(提供网络投票),召开股东大会通知,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877245.html
2026-03-30-56,920694,中裕科技,中裕科技:董事会关于独立董事独立性自查情况的专项报告,自查报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877224.html
2026-03-30-57,920694,中裕科技,中裕科技:关于预计2026年度为子公司提供担保的公告,担保年度额度预计,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877254.html
2026-03-30-58,920694,中裕科技,中裕科技:2025年度董事会工作报告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877233.html
2026-03-30-59,920694,中裕科技,中裕科技:2025年年度独立董事述职报告(李前林),独立董事述职报告,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877255.html
2026-03-30-60,920694,中裕科技,中裕科技:董事会审计委员会2025年度履职情况报告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877250.html
2026-03-30-61,920694,中裕科技,中裕科技:东吴证券股份有限公司关于中裕软管科技股份有限公司2025年度持续督导定期现场检查报告,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877253.html
2026-03-30-62,920694,中裕科技,中裕科技:2025年年度权益分派预案公告,分配预案,2026-03-30,https://data.eastmoney.com/notices/detail/920694/AN202603301820877236.html
2026-03-30-63,300975,商络电子,商络电子:关于控股股东、实际控制人提前终止股份减持计划的公告,股东/实际控制人股份减持,2026-03-30,https://data.eastmoney.com/notices/detail/300975/AN202603301820876445.html
2026-03-30-64,300225,*ST金泰,*ST金泰:关于2025年年度报告编制及最新审计进展情况,其他,2026-03-30,https://data.eastmoney.com/notices/detail/300225/AN202603301820875442.html
2026-03-30-65,300143,盈康生命,盈康生命:300143盈康生命投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/300143/AN202603301820875264.html
2026-03-30-66,300647,超频三,超频三:关于公司向银行申请授信额度暨关联担保及公司为控股子公司申请银行授信提供担保的进展公告,提供/对外担保公告,2026-03-30,https://data.eastmoney.com/notices/detail/300647/AN202603301820874476.html
2026-03-30-67,920062,科润智控,科润智控:签订框架协议的公告,签订协议,2026-03-30,https://data.eastmoney.com/notices/detail/920062/AN202603301820874421.html
2026-03-30-68,A22484,飞依诺,3-1-2发行保荐书(申报稿)(飞依诺科技股份有限公司),创业板IPO发行保荐书申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/A22484/AN202603301820873233.html
2026-03-30-69,A22484,飞依诺,3-2-1财务报告及审计报告(申报稿)(飞依诺科技股份有限公司),创业板IPO审计报告申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/A22484/AN202603301820873232.html
2026-03-30-70,A22484,飞依诺,3-1-3上市保荐书(申报稿)(飞依诺科技股份有限公司),创业板IPO上市保荐书申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/A22484/AN202603301820873234.html
2026-03-30-71,A22484,飞依诺,3-3-1法律意见书(申报稿)(飞依诺科技股份有限公司),创业板IPO法律意见书申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/A22484/AN202603301820873231.html
2026-03-30-72,A22484,飞依诺,1-1招股说明书(申报稿)(飞依诺科技股份有限公司),创业板IPO招股说明书申报稿,2026-03-30,https://data.eastmoney.com/notices/detail/A22484/AN202603301820873230.html
2026-03-30-73,300147,ST香雪,ST香雪:第九届董事会第三十四次会议决议公告,董事会决议公告,2026-03-30,https://data.eastmoney.com/notices/detail/300147/AN202603301820873711.html
2026-03-30-74,300147,ST香雪,ST香雪:关于累计诉讼事项的公告,诉讼仲裁,2026-03-30,https://data.eastmoney.com/notices/detail/300147/AN202603301820873741.html
2026-03-30-75,300147,ST香雪,ST香雪:关于公司划转子公司股权的公告,其他,2026-03-30,https://data.eastmoney.com/notices/detail/300147/AN202603301820873731.html
2026-03-30-76,300147,ST香雪,ST香雪:关于申请借款续期的公告,借贷,2026-03-30,https://data.eastmoney.com/notices/detail/300147/AN202603301820873727.html
2026-03-30-77,300101,振芯科技,振芯科技:关于董事、总经理及代行董事会秘书辞职的公告,高管人员任职变动,2026-03-30,https://data.eastmoney.com/notices/detail/300101/AN202603301820873447.html
2026-03-30-78,002675,东诚药业,东诚药业:002675东诚药业投资者关系管理信息20260330,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/002675/AN202603301820873188.html
2026-03-30-79,000837,秦川机床,秦川机床:2026年3月30日投资者关系活动记录表,调研活动,2026-03-30,https://data.eastmoney.com/notices/detail/000837/AN202603301820872626.html
2026-03-30-80,920415,恒拓开源,恒拓开源:第五届董事会第十一次会议决议公告,分配预案,2026-03-30,https://data.eastmoney.com/notices/detail/920415/AN202603301820873019.html
2026-03-30-81,920037,广信科技,广信科技:董事、高管薪酬管理制度,管理办法/制度,2026-03-30,https://data.eastmoney.com/notices/detail/920037/AN202603301820873056.html
2026-03-30-82,920415,恒拓开源,恒拓开源:2025年年度报告,年度报告全文,2026-03-30,https://data.eastmoney.com/notices/detail/920415/AN202603301820873012.html
2026-03-30-83,920037,广信科技,广信科技:董事会关于独立董事独立性情况的专项报告,专项说明/独立意见,2026-03-30,https://data.eastmoney.com/notices/detail/920037/AN202603301820873018.html
2026-03-30-84,920037,广信科技,广信科技:独立董事候选人声明(黄利萍),独立董事候选人声明,2026-03-30,https://data.eastmoney.com/notices/detail/920037/AN202603301820873028.html
2026-03-30-85,920037,广信科技,广信科技:东兴证券股份有限公司关于湖南广信科技股份有限公司2025年度持续督导跟踪报告,保荐/核查意见,2026-03-30,https://data.eastmoney.com/notices/detail/920037/AN202603301820873017.html
2026-03-30-86,920037,广信科技,广信科技:2025年年度报告,年度报告全文,2026-03-30,https://data.eastmoney.com/notices/detail/920037/AN202603301820873043.html
