id,stock_code,stock_name,title,announce_type,publish_date,url,signal,signal_text,keywords,growth_pct,strength
2026-04-04-26,002285,世联行,世联行:关于公司未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-04,https://data.eastmoney.com/notices/detail/002285/AN202604031821018117.html,negative,低于预期,亏损,,1
2026-04-04-46,002207,准油股份,准油股份:2025年度业绩预告修正公告,业绩预告,2026-04-04,https://data.eastmoney.com/notices/detail/002207/AN202604031821017952.html,neutral,业绩公告,,,1
2026-04-04-172,688809,强一股份,强一股份:2026年第一季度业绩预告的自愿性披露公告,业绩预告,2026-04-04,https://data.eastmoney.com/notices/detail/688809/AN202604031821017577.html,neutral,业绩公告,,,1
2026-04-04-199,600882,妙可蓝多,妙可蓝多:2026年第一季度业绩快报公告,业绩快报,2026-04-04,https://data.eastmoney.com/notices/detail/600882/AN202604031821017233.html,neutral,业绩公告,,,1
2026-04-04-216,002569,*ST步森,*ST步森:关于公司2025年年报编制及最新审计进展的公告,其他,2026-04-04,https://data.eastmoney.com/notices/detail/002569/AN202604031821017102.html,neutral,业绩公告,,,1
2026-04-04-631,000978,桂林旅游,桂林旅游:关于未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-04,https://data.eastmoney.com/notices/detail/000978/AN202604031821016197.html,negative,低于预期,亏损,,1
2026-04-04-902,000812,陕西金叶,陕西金叶:2025年度业绩快报,业绩快报,2026-04-04,https://data.eastmoney.com/notices/detail/000812/AN202604031821014930.html,neutral,业绩公告,,,1
2026-04-04-981,603458,勘设股份,勘设股份:贵州省交通规划勘察设计研究院股份有限公司年报信息披露重大差错责任追究制度(2026年4月修订),管理办法/制度,2026-04-04,https://data.eastmoney.com/notices/detail/603458/AN202604031821014592.html,neutral,业绩公告,,,1
2026-04-04-993,600281,华阳新材,华阳新材:山西华阳新材料股份有限公司2025年年度业绩快报,业绩快报,2026-04-04,https://data.eastmoney.com/notices/detail/600281/AN202604031821014511.html,neutral,业绩公告,,,1
2026-04-04-1038,002536,飞龙股份,飞龙股份:飞龙汽车部件股份有限公司2026年第一季度业绩预告,业绩预告,2026-04-04,https://data.eastmoney.com/notices/detail/002536/AN202604031821014304.html,neutral,业绩公告,,,1
2026-04-04-1306,300505,川金诺,川金诺:昆明川金诺化工股份有限公司2026年第一季度业绩预告,业绩预告,2026-04-04,https://data.eastmoney.com/notices/detail/300505/AN202604031821012726.html,neutral,业绩公告,,,1
2026-04-04-1561,002816,*ST和科,*ST和科:关于公司2025年年报编制及最新审计进展的公告,其他,2026-04-04,https://data.eastmoney.com/notices/detail/002816/AN202604031821011649.html,neutral,业绩公告,,,1
