code,name,industry,price,intrinsic_value,undervalue_rate,pe,pb,eps,bvps,roe
600519,贵州茅台,白酒,1450.0,2001.07,0.38,15.0,1.5,96.67,966.67,0.1
858,五粮液,白酒,103.27,142.42,0.3791,15.01,1.5,6.88,68.85,0.1
568,泸州老窖,白酒,104.68,144.49,0.3803,15.0,1.5,6.98,69.79,0.1
2304,洋河股份,白酒,50.74,69.97,0.379,15.01,1.5,3.38,33.83,0.1
600809,山西汾酒,白酒,143.06,197.48,0.3804,15.0,1.5,9.54,95.37,0.1
799,酒鬼酒,白酒,42.78,58.99,0.3789,15.01,1.5,2.85,28.52,0.1
600559,老白干酒,白酒,13.54,18.63,0.3759,15.04,1.5,0.9,9.03,0.1
596,古井贡酒,白酒,102.85,142.0,0.3807,14.99,1.5,6.86,68.57,0.1
600702,舍得酒业,白酒,45.22,62.31,0.3779,15.02,1.5,3.01,30.15,0.1
603589,口子窖,白酒,24.7,34.15,0.3826,14.97,1.5,1.65,16.47,0.1
600779,水井坊,白酒,32.79,45.33,0.3824,14.97,1.5,2.19,21.86,0.1
860,顺鑫农业,白酒,12.88,17.8,0.382,14.98,1.5,0.86,8.59,0.1
603198,迎驾贡酒,白酒,32.5,44.92,0.3822,14.98,1.5,2.17,21.67,0.1
2714,牧原股份,猪肉,41.71,41.71,0.0,15.0,1.5,2.78,27.81,0.1
300498,温氏股份,猪肉,16.62,16.62,0.0,14.97,1.5,1.11,11.08,0.1
2157,正邦科技,猪肉,3.04,3.04,0.0,15.2,1.5,0.2,2.03,0.1
600975,新五丰,猪肉,5.35,5.35,0.0,14.86,1.5,0.36,3.57,0.1
603363,傲农生物,猪肉,3.87,3.87,0.0,14.88,1.5,0.26,2.58,0.1
2567,唐人神,猪肉,4.03,4.04,0.0025,14.93,1.5,0.27,2.69,0.1
1209,华统股份,猪肉,20.58,20.58,0.0,15.02,1.5,1.37,13.72,0.1
2311,海大集团,猪肉,49.81,49.81,0.0,15.0,1.5,3.32,33.21,0.1
300474,景嘉微,GPU,57.61,119.81,1.0797,15.0,1.5,3.84,38.41,0.1
688256,寒武纪,GPU,983.0,2044.64,1.08,15.0,1.5,65.53,655.33,0.1
300223,北京君正,GPU,104.3,216.94,1.08,15.01,1.5,6.95,69.53,0.1
688047,龙芯中科,GPU,130.55,271.54,1.08,15.01,1.5,8.7,87.03,0.1
